Designator,Mid X,Mid Y,Layer,Rotation
R149,68.42,46.99,Top,0
R150,56.67,46.99,Top,180
R151,15.08,46.51,Top,180
R152,73.98,46.51,Top,0
R153,5.24,45.09,Top,180
R154,83.66,45.08,Top,0
R155,32.23,44.77,Top,180
R156,20.48,44.77,Top,0
R157,56.67,44.77,Top,0
R158,68.42,44.77,Top,180
R159,73.98,44.29,Top,0
R160,15.08,44.29,Top,180
R161,19.37,43.66,Top,0
R162,69.37,43.66,Top,180
R163,66.67,43.34,Top,270
R164,31.59,43.18,Top,90
R165,21.11,43.18,Top,90
R166,22.23,43.18,Top,270
R167,30.48,43.18,Top,270
R168,57.31,43.18,Top,90
R169,74.45,43.18,Top,0
R170,14.34,43.18,Top,180
R171,58.42,43.18,Top,270
R172,67.79,43.18,Top,90
R173,5.24,42.86,Top,0
R174,83.66,42.86,Top,180
R175,74.45,42.07,Top,0
R176,14.45,42.07,Top,180
R182,5.87,26.67,Top,180
R183,17.14,26.67,Top,0
R184,26.51,23.5,Top,90
R185,29.21,26.67,Top,0
R186,41.27,26.67,Top,0
R187,59.69,26.67,Top,180
R188,62.71,23.5,Top,90
R189,71.76,26.67,Top,180
R190,83.03,26.67,Top,0
R191,29.21,12.07,Top,0
R192,47.94,12.07,Top,0
R193,53.34,12.07,Top,180
R194,77.47,12.07,Top,0
R197,16.99,82.55,Top,90
R199,11.27,103.82,Top,90
R200,77.95,103.82,Top,90
